"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"l10n_bo_1112","Fondo fijo",1112,"asset_cash","l10n_bo.bo_chart_template",,"False"
"l10n_bo_1114","Inversiones Temporales",1114,"asset_cash","l10n_bo.bo_chart_template",,"False"
"l10n_bo_1121","Cuentas por Cobrar Comerciales",1121,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_11211","Cuentas por Cobrar Comerciales - PoS",11211,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1122","Otras Cuentas por Cobrar",1122,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1123","Cuentas por Cobrar a Empresas Relacionadas",1123,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1124","Anticipo a Proveedores",1124,"asset_prepayments","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1125","Provisión para Cuentas Incobrables",1125,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1131","Inventarios de Productos Terminados",1131,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1132","Inventarios de Productos en Proceso",1132,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1133","Inventarios de Materia Prima",1133,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_11341","Inventario en Tránsito Entrante",11341,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_11342","Inventario en Tránsito Saliente",11342,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1135","Inventario - Previsión para Obsolescencias",1135,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1141","Crédito Fiscal IVA",1141,"asset_prepayments","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1142","Impuestos por Recuperar",1142,"asset_prepayments","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1143","Pagos Anticipados",1143,"asset_current","l10n_bo.bo_chart_template","account.account_tag_operating","False"
"l10n_bo_1144","Otros Activos Corrientes",1144,"asset_current","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_1211","Cuentas por Cobrar Comerciales - Largo Plazo",1211,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1212","Otras Cuentas por Cobrar - Largo Plazo",1212,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1213","Cuentas por Cobrar Empresas Relacionadas y/o Vinculadas Largo Plazo",1213,"asset_receivable","l10n_bo.bo_chart_template","account.account_tag_operating","True"
"l10n_bo_1221","Inventarios de Repuestos",1221,"asset_non_current","l10n_bo.bo_chart_template","account.account_tag_investing","True"
"l10n_bo_1222","Otros Inventarios",1222,"asset_non_current","l10n_bo.bo_chart_template","account.account_tag_investing","True"
"l10n_bo_1231","Terrenos",1231,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_1232","Edificios",1232,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_12321","Depreciación Acumulada Edificios",12321,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_1233","Maquinaria",1233,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
"l10n_bo_12331","Depreciación Acumulada Maquinaria",12331,"asset_fixed","l10n_bo.bo_chart_template","account.account_tag_investing","False"
