"id","code","name","account_type","reconcile"
"account_template_101010101","1.01.01.01.01","Caixa Matriz","asset_cash",""
"account_template_101010102","1.01.01.01.02","Caixa Filiais","asset_cash",""
"account_template_101010201","1.01.01.02.01","Bancos Conta Movimento - No País","asset_current",""
"account_template_101010202","1.01.01.02.02","Bancos Conta Movimento - No Exterior","asset_current",""
"account_template_101010401","1.01.01.04.01","Numerários em Trânsito","asset_receivable","True"
"account_template_101010402","1.01.01.04.02","Numerários em Trânsito (PoS)","asset_receivable","True"
"account_template_101010501","1.01.01.05.01","Títulos para Negociação - Mensurados a Valor Justo Por Meio do Resultado (VJPR) - No País","asset_current",""
"account_template_101010502","1.01.01.05.02","Títulos Disponíveis para Venda - No País","asset_current",""
"account_template_101010503","1.01.01.05.03","Títulos Mantidos até o Vencimento - No País","asset_current",""
"account_template_101010510","1.01.01.05.10","Debêntures emitidas por Partes Relacionadas - No País","asset_current",""
"account_template_101010511","1.01.01.05.11","Debêntures Emitidas por Partes Não Relacionadas - No País","asset_current",""
"account_template_101010515","1.01.01.05.15","Outros Empréstimos e Recebíveis - No País","asset_current",""
"account_template_101010550","1.01.01.05.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Valores Mobiliários - No País","asset_current",""
"account_template_101010555","1.01.01.05.55","(-) Perdas por Redução ao Valor Recuperável (Impairment)- Valores Mobiliários - No País","asset_current",""
"account_template_101010570","1.01.01.05.70","Subconta - Ajuste a Valor Justo - Valores Mobiliários – Não Hedge -No País","asset_current",""
"account_template_101010590","1.01.01.05.90","Subconta – Adoção Inicial - Valores Mobiliários – Não Hedge - No País","asset_current",""
"account_template_101010601","1.01.01.06.01","Derivativos - Hedge Valor Justo - No País","asset_current",""
"account_template_101010602","1.01.01.06.02","Derivativos - Hedge Fluxo de Caixa - No País","asset_current",""
"account_template_101010603","1.01.01.06.03","Derivativos - Hedge Investimento no Exterior - No País","asset_current",""
"account_template_101010670","1.01.01.06.70","Subconta - Ajuste a Valor Justo - Valores Mobiliários – Hedge - No País","asset_current",""
"account_template_101010690","1.01.01.06.90","Subconta – Adoção Inicial - Valores Mobiliários – Hedge - No País","asset_current",""
"account_template_101010901","1.01.01.09.01","Títulos para Negociação - Mensurados a Valor Justo por Meio de Resultado (VJPR) - No Exterior","asset_current",""
"account_template_101010902","1.01.01.09.02","Títulos Disponíveis para Venda - No Exterior","asset_current",""
"account_template_101010903","1.01.01.09.03","Títulos Mantidos até o Vencimento - No Exterior","asset_current",""
"account_template_101010910","1.01.01.09.10","Debêntures emitidas por Partes Relacionadas - No Exterior","asset_current",""
"account_template_101010911","1.01.01.09.11","Debêntures emitidas por Partes Não Relacionadas - No Exterior","asset_current",""
"account_template_101010915","1.01.01.09.15","Outros Empréstimos e Recebíveis - No Exterior","asset_current",""
"account_template_101010950","1.01.01.09.50","(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) - Valores Mobiliários - No Exterior","asset_current",""
