"id","code","name","reconcile","account_type"
"co_puc_110505","110505","Caja General","False","asset_cash"
"co_puc_120535","120535","Comercio al Por Mayor y al Por Menor","False","asset_current"
"co_puc_129595","129595","Diversas","False","asset_current"
"co_puc_130505","130505","Nacionales","True","asset_receivable"
"co_puc_130507","130507","Nacionales","True","asset_receivable"
"co_puc_130510","130510","Del Exterior","True","asset_receivable"
"co_puc_131010","131010","Compañías Vinculadas","True","asset_receivable"
"co_puc_132510","132510","a Accionistas","True","asset_receivable"
"co_puc_133005","133005","a Proveedores","True","asset_receivable"
"co_puc_133010","133010","a Contratistas","True","asset_receivable"
"co_puc_133015","133015","a Trabajadores","True","asset_receivable"
"co_puc_133505","133505","Para Importaciones","False","asset_current"
"co_puc_135505","135505","Anticipo de Impuestos de Renta y Complementarios","False","asset_current"
"co_puc_135510","135510","Anticipo de Impuestos de Industria y Comercio","False","asset_current"
"co_puc_135515","135515","Retención en la Fuente","False","asset_current"
"co_puc_135517","135517","Impuesto a Las Ventas Retenido","False","asset_current"
"co_puc_135518","135518","Impuesto de Industria y Comercio Retenido","False","asset_current"
"co_puc_135520","135520","Sobrantes en Liquidación Privada de Impuestos","False","asset_current"
"co_puc_136005","136005","a Compañías Aseguradoras","False","asset_current"
"co_puc_136010","136010","a Transportadores","False","asset_current"
"co_puc_136015","136015","Por Tiquetes Aéreos","False","asset_current"
"co_puc_136515","136515","Educación","True","asset_receivable"
"co_puc_136525","136525","Calamidad Doméstica","True","asset_receivable"
"co_puc_138095","138095","Otros","False","asset_current"
"co_puc_139005","139005","Deudas de Difícil Cobro","False","asset_current"
"co_puc_139905","139905","Clientes","False","asset_current"
"co_puc_143005","143005","Productos Manufacturados","False","asset_current"
"co_puc_149905","149905","Para Obsolescencia","False","asset_current"
"co_puc_150405","150405","Urbanos","False","asset_current"
"co_puc_151605","151605","Edificios","False","asset_current"
"co_puc_152099","152099","Ajustes Por Inflación","False","asset_current"
"co_puc_152405","152405","Muebles y Enseres","False","asset_current"
"co_puc_152499","152499","Ajustes Por Inflación","False","asset_current"
"co_puc_152805","152805","Equipos de Procesamiento de Datos","False","asset_current"
"co_puc_152899","152899","Ajustes Por Inflación","False","asset_current"
"co_puc_154005","154005","Autos, Camionetas y Camperos","False","asset_current"
"co_puc_154008","154008","Camiones, Volquetas y Furgones","False","asset_current"
"co_puc_154020","154020","Montacargas","False","asset_current"
"co_puc_154040","154040","Estibas y Carretas","False","asset_current"
"co_puc_154099","154099","Ajustes Por Inflación","False","asset_current"
"co_puc_159205","159205","Construcciones y Edificaciones","False","asset_current"
"co_puc_159210","159210","Maquinaria y Equipo","False","asset_current"
"co_puc_159215","159215","Equipo de Oficina","False","asset_current"
"co_puc_159220","159220","Equipo de Computación y Comunicación","False","asset_current"
"co_puc_159235","159235","Flota y Equipo de Transporte","False","asset_current"
"co_puc_170520","170520","Seguros y Fianzas","False","asset_current"
"co_puc_189510","189510","Bienes Entregados en Comodato","False","asset_current"
"co_puc_189515","189515","Amortización Acumulada de Bienes Entregados en Comodato (cr)","False","asset_current"
"co_puc_190505","190505","Acciones","False","asset_current"
"co_puc_220505","220505","Nacionales","True","liability_payable"
"co_puc_221005","221005","Del Exterior","True","liability_payable"
"co_puc_231505","231505","a Compañías Vinculadas","True","liability_payable"
"co_puc_233550","233550","Servicios Públicos","True","liability_payable"
"co_puc_233560","233560","Gastos de Viaje","True","liability_payable"
"co_puc_233570","233570","Servicios Aduaneros","True","liability_payable"
"co_puc_233595","233595","Otros","False","liability_current"
"co_puc_235510","235510","Socios","True","liability_payable"
"co_puc_236005","236005","Dividendos","False","liability_current"
"co_puc_236505","236505","Salarios y Pagos Laborales","False","liability_current"
"co_puc_236510","236510","Dividendos y/o Participaciones","False","liability_current"
"co_puc_23651505","23651505","Retencion en la fuente por honorarios persona natural 10%","False","liability_current"
"co_puc_23651510","23651510","Retencion en la fuente por honorarios persona Juridica 11%","False","liability_current"
"co_puc_23651515","23651515","Retencion en la fuente por servicios de licencias software 3.5%","False","liability_current"
"co_puc_23651520","23651520","Retencion en la fuente por servicios de diseño web y consultorí informática 3.5%","False","liability_current"
"co_puc_23652005","23652005","Retencion en la fuente por comisiones persona natural 10%","False","liability_current"
"co_puc_23652010","23652010","Retencion en la fuente por comisiones persona juridica 11%","False","liability_current"
"co_puc_23652505","23652505","Retencion en la fuente por servicios en general 4%","False","liability_current"
"co_puc_23652510","23652510","Retencion en la fuente por servicios en general personas naturales no declarantes Renta 6%","False","liability_current"
"co_puc_23652515","23652515","Retencion en la fuente por servicio transporte nacional carga 1%","False","liability_current"
"co_puc_23652520","23652520","Retencion en la fuente por servicio transporte terrestre nacional pasajeros 3.5%","False","liability_current"
"co_puc_23652525","23652525","Retencion en la fuente por servicio transporte aereo y maritimo nacional pasajeros 1%","False","liability_current"
"co_puc_23652530","23652530","Retencion en la fuente por servicio temporales de empleo (sobre AIU) 1%","False","liability_current"
"co_puc_23652535","23652535","Retencion en la fuente por servicio de vigilancia y aseo (sobre AIU) 2%","False","liability_current"
"co_puc_23652540","23652540","Retencion en la fuente por servicio integrales de salud 2%","False","liability_current"
"co_puc_23652545","23652545","Retencion en la fuente por servicio de hoteles y restaurantes 3.5%","False","liability_current"
"co_puc_23652550","23652550","Retencion en la fuente por contratos de obra inmuebles 2%","False","liability_current"
"co_puc_23653005","23653005","Retencion en la fuente por arrendamientos Bienes Muebles 4%","False","liability_current"
"co_puc_23653010","23653010","Retencion en la fuente por arrendamientos Bienes Inmuebles 3.5%","False","liability_current"
"co_puc_23653510","23653510","Retencion en la fuente por rendimientos financieros generales 7%","False","liability_current"
"co_puc_23654005","23654005","Retencion en la fuente por compras declarantes 2.5%","False","liability_current"
"co_puc_23654010","23654010","Retencion en la fuente por compras no declarantes 3.5%","False","liability_current"
"co_puc_23654015","23654015","Retencion en la fuente por compras bienes agricolas 1.5%","False","liability_current"
"co_puc_23654020","23654020","Retencion en la fuente por compra cafe 0.5%","False","liability_current"
"co_puc_23654025","23654025","Retencion en la fuente por compra combustibles 0.1%","False","liability_current"
"co_puc_23654030","23654030","Retencion en la fuente por adquisicion de vehiculos 1%","False","liability_current"
"co_puc_23654035","23654035","Retencion en la fuente por adquisicion de bienes raices comerciales 2.5%","False","liability_current"
"co_puc_23654040","23654040","Retencion en la fuente por ventas de activos fijos 1%","False","liability_current"
"co_puc_23655005","23655005","Retencion en la fuente por consultorias servicios tecnicos y asistencia tecnica pagos al exterior 10%","False","liability_current"
"co_puc_236575","236575","Autorretenciones","False","liability_current"
"co_puc_236705","236705","Impuesto a Las Ventas Retenido","False","liability_current"
"co_puc_236805","236805","Impuesto de Industria y Comercio Retenido","False","liability_current"
"co_puc_237005","237005","Aportes a Entidades Promotoras de Salud, Eps","False","liability_current"
"co_puc_237006","237006","Aportes a Administradoras de Riesgos Profesionales, Arp","False","liability_current"
"co_puc_237010","237010","Aportes al Icbf, Sena y Cajas de Compensación","False","liability_current"
"co_puc_237025","237025","Embargos Judiciales","False","liability_current"
"co_puc_237030","237030","Libranzas","False","liability_current"
"co_puc_237035","237035","Sindicatos","False","liability_current"
"co_puc_238030","238030","Fondos de Cesantías y/o Pensiones","False","liability_current"
"co_puc_238095","238095","Otros","False","liability_current"
"co_puc_240405","240405","Vigencia Fiscal Corriente","False","liability_current"
"co_puc_2408050505","2408050505","Ventas Iva 19%","False","liability_current"
"co_puc_2408050510","2408050510","Ventas Iva 5%","False","liability_current"
"co_puc_2408051005","2408051005","Venta Anulada Iva 19%","False","liability_current"
"co_puc_2408051010","2408051010","Venta Anulada Iva 5%","False","liability_current"
"co_puc_2408100505","2408100505","Descontable Iva 19%","False","liability_current"
"co_puc_2408100510","2408100510","Descontable Iva 5%","False","liability_current"
"co_puc_2408100515","2408100515","Descontable Iva 16%","False","liability_current"
"co_puc_2408101005","2408101005","Compra Anulada Iva 19%","False","liability_current"
"co_puc_2408101010","2408101010","Compra Anulada Iva 5%","False","liability_current"
"co_puc_2408101015","2408101015","Compra Anulada Iva 16%","False","liability_current"
"co_puc_240820","240820","Iva Descontable a Regimen Simplificado (Commun/Proporcional) - Solo Esta la DIAN lo Interpreta Utilizable","False","liability_current"
"co_puc_24082005","24082005","Iva retenido a regimen simplificado","False","liability_current"
"co_puc_241205","241205","Vigencia Fiscal Corriente","False","liability_current"
"co_puc_245605","245605","a Las Importaciones","False","liability_current"
"co_puc_249505","249505","Otros","False","liability_current"
"co_puc_250505","250505","Salarios Por Pagar","False","liability_current"
"co_puc_251010","251010","Ley 50 de 1990 y Normas Posteriores","False","liability_current"
"co_puc_251505","251505","Intereses Sobre Cesantías","False","liability_current"
"co_puc_252005","252005","Prima de Servicios","False","liability_current"
"co_puc_252505","252505","Vacaciones Consolidadas","False","liability_current"
"co_puc_261005","261005","Cesantías","False","liability_current"
"co_puc_261010","261010","Intereses Sobre Cesantías","False","liability_current"
"co_puc_261015","261015","Vacaciones","False","liability_current"
"co_puc_261020","261020","Prima de Servicios","False","liability_current"
"co_puc_261505","261505","de Renta y Complementarios","False","liability_current"
"co_puc_261510","261510","de Industria y Comercio","False","liability_current"
"co_puc_280505","280505","de Clientes","False","liability_current"
"co_puc_280510","280510","Sobre Contratos","False","liability_current"
"co_puc_280595","280595","Otros","False","liability_current"
"co_puc_310505","310505","Capital Autorizado","False","equity"
"co_puc_310510","310510","Capital Por Suscribir (db)","False","equity"
"co_puc_320505","320505","Prima en Colocación de Acciones","False","equity"
"co_puc_330505","330505","Reserva Legal","False","equity"
"co_puc_340505","340505","de Capital Social","False","equity"
"co_puc_340515","340515","de Reservas","False","equity"
"co_puc_340520","340520","de Resultados de Ejercicios Anteriores","False","equity"
"co_puc_360505","360505","Utilidad Del Ejercicio","False","equity"
"co_puc_370505","370505","Utilidades Acumuladas","False","equity"
"co_puc_413502","413502","Venta de vehículos automotores","False","income"
"co_puc_413504","413504","Mantenimiento, reparación y lavado de vehículos automotores","False","income"
"co_puc_413506","413506","Venta de partes, piezas y accesorios de vehículos automotores","False","income"
"co_puc_413508","413508","Venta de combustibles sólidos, líquidos, gaseosos","False","income"
"co_puc_413510","413510","Venta de lubricantes, aditivos, llantas y lujos para automotores","False","income"
"co_puc_413512","413512","Venta a cambio de retribución o por contrata","False","income"
"co_puc_413514","413514","Venta de insumos, materias primas agropecuarias y flores","False","income"
"co_puc_413516","413516","Venta de otros insumos y materias primas no agropecuarias","False","income"
"co_puc_413518","413518","Venta de animales vivos y cueros","False","income"
"co_puc_413520","413520","Venta de productos en almacenes no especializados","False","income"
"co_puc_413522","413522","Venta de productos agropecuarios","False","income"
"co_puc_413524","413524","Venta de productos textiles, de vestir, de cuero y calzado","False","income"
"co_puc_413526","413526","Venta de papel y cartón","False","income"
"co_puc_413528","413528","Venta de libros, revistas, elementos de papelería, útiles y textos escolares","False","income"
"co_puc_413530","413530","Venta de juegos, juguetes y artículos deportivos","False","income"
"co_puc_413532","413532","Venta de instrumentos quirúrgicos y ortopédicos","False","income"
"co_puc_413534","413534","Venta de artículos en relojerías y joyerías","False","income"
"co_puc_413536","413536","Venta de electrodomésticos y muebles","False","income"
"co_puc_413538","413538","Venta de productos de aseo, farmacéuticos, medicinales, y artículos de tocador","False","income"
"co_puc_413540","413540","Venta de cubiertos, vajillas, cristalería, porcelanas, cerámicas y otros artículos de uso doméstico","False","income"
"co_puc_413542","413542","Venta de materiales de construcción, fontanería y calefacción","False","income"
"co_puc_413544","413544","Venta de pinturas y lacas","False","income"
"co_puc_413546","413546","Venta de productos de vidrios y marquetería","False","income"
"co_puc_413548","413548","Venta de herramientas y artículos de ferretría","False","income"
"co_puc_413550","413550","Venta de químicos","False","income"
"co_puc_413552","413552","Venta de productos intermedios, desperdicios y desechos","False","income"
"co_puc_413554","413554","Venta de maquinaria, equipo de oficina y programas de computador","False","income"
"co_puc_413556","413556","Venta de artículos en cacharrerías y misceláneas","False","income"
"co_puc_413558","413558","Venta de instrumentos musicales","False","income"
"co_puc_413560","413560","Venta de artículos en casas de empeño y prenderías","False","income"
"co_puc_413562","413562","Venta de equipo fotográfico","False","income"
"co_puc_413564","413564","Venta de equipo óptico y de precisión","False","income"
"co_puc_413566","413566","Venta de empaques","False","income"
"co_puc_413568","413568","Venta de equipo profesional y científico","False","income"
"co_puc_413570","413570","Venta de loterías, rifas, chance, apuestas y similares","False","income"
