"id","code_prefix_start","name"
"chart_sk_0","0","Dlhodobý majetok"
"chart_sk_01","01","Dlhodobý nehmotný majetok"
"chart_sk_012","012","Aktivované náklady na vývoj"
"chart_sk_013","013","Softvér"
"chart_sk_014","014","Oceniteľné práva"
"chart_sk_015","015","Goodwill"
"chart_sk_019","019","Ostatný dlhodobý nehmotný majetok"
"chart_sk_02","02","Dlhodobý hmotný majetok - odpisovaný"
"chart_sk_021","021","Stavby"
"chart_sk_022","022","Samostatné hnuteľné veci a súbory hnuteľných vecí"
"chart_sk_025","025","Pestovateľské celky trvalých porastov"
"chart_sk_026","026","Základné stádo a ťažné zvieratá"
"chart_sk_029","029","Ostatný dlhodobý hmotný majetok"
"chart_sk_03","03","Dlhodobý hmotný majetok - neodpisovaný"
"chart_sk_031","031","Pozemky"
"chart_sk_032","032","Umelecké diela a zbierky"
"chart_sk_04","04","Obstaranie dlhodobého majetku"
"chart_sk_041","041","Obstaranie dlhodobého nehmotného majetku"
"chart_sk_042","042","Obstaranie dlhodobého hmotného majetku"
"chart_sk_043","043","Obstaranie dlhodobého finančného majetku"
"chart_sk_05","05","Poskytnuté preddavky na dlhodobý majetok"
"chart_sk_051","051","Poskytnuté preddavky na dlhodobý nehmotný majetok"
"chart_sk_052","052","Poskytnuté preddavky na dlhodobý hmotný majetok"
"chart_sk_055","055","Poskytnuté preddavky na dlhodobý finančný majetok"
"chart_sk_06","06","Dlhodobý finančný majetok"
"chart_sk_061","061","Podielové cenné papiere a podiely v dcérskej účtovnej jednotke"
"chart_sk_062","062","Podielové cenné papiere a podiely v spoločnosti alebo družstve s podielovou účasťou"
"chart_sk_063","063","Realizovateľné cenné papiere a podiely"
"chart_sk_065","065","Dlhové cenné papiere držané do splatnosti"
"chart_sk_066","066","Pôžičky prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti"
"chart_sk_067","067","Ostatné pôžičky"
"chart_sk_069","069","Ostatný dlhodobý finančný majetok"
"chart_sk_07","07","Oprávky k dlhodobému nehmotnému majetku"
"chart_sk_072","072","Oprávky k aktivovaným nákladom na vývoj"
"chart_sk_073","073","Oprávky k softvéru"
"chart_sk_074","074","Oprávky k oceniteľným právam"
"chart_sk_075","075","Oprávky ku goodwilu"
"chart_sk_079","079","Opravky k ostatnému dlhodobému nehmotnému majetku"
"chart_sk_08","08","Oprávky k dlhodobému hmotnému majetku"
"chart_sk_081","081","Oprávky k stavbám"
"chart_sk_082","082","Oprávky k samostatným hnuteľným veciam a k súboru hnuteľných vecí"
"chart_sk_085","085","Oprávky k pestovateľským celkom trvalých porastov"
"chart_sk_086","086","Oprávky k základnému stádu a ťažným zvieratám"
"chart_sk_089","089","Oprávky k ostatnému dlhodobému hmotnému majetku"
"chart_sk_09","09","Opravné položky k dlhodobému majetku"
"chart_sk_091","091","Opravné položky k dlhodobému nehmotnému majetku"
"chart_sk_092","092","Opravné položky k dlhodobému hmotnému majetku"
"chart_sk_093","093","Opravné položky k nedokončenému dlhodobému nehmotnému majetku"
"chart_sk_094","094","Opravné položky k nedokončenému dlhodobému hmotnému majetku"
"chart_sk_095","095","Opravné položky k poskytnutým preddavkom na dlhodobý majetok"
"chart_sk_096","096","Opravné položky k dlhodobému finančnému majetku"
"chart_sk_097","097","Opravné položky k nadobudnutému majetku"
"chart_sk_098","098","Oprávky k opravnej položke k nadobudnutému majetku"
"chart_sk_1","1","Zásoby"
"chart_sk_11","11","Materiál"
"chart_sk_111","111","Obstaranie materiálu"
"chart_sk_112","112","Materiál na sklade"
"chart_sk_119","119","Materiál na ceste"
"chart_sk_12","12","Zásoby vlastnej výroby"
"chart_sk_121","121","Nedokončená výroba"
"chart_sk_122","122","Polotovary vlastnej výroby"
"chart_sk_123","123","Výrobky"
"chart_sk_124","124","Zvieratá"
"chart_sk_13","13","Tovar"
"chart_sk_131","131","Obstaranie tovaru"
"chart_sk_132","132","Tovar na sklade a v predajniach"
"chart_sk_133","133","Nehnuteľnosť na predaj"
"chart_sk_139","139","Tovar na ceste"
"chart_sk_19","19","Opravné položky k zásobám"
"chart_sk_191","191","Opravné položky k materiálu"
"chart_sk_192","192","Opravné položky k nedokončenej výrobe"
"chart_sk_193","193","Opravné položky k polotovarom vlastnej výroby"
"chart_sk_194","194","Opravné položky k výrobkom"
"chart_sk_195","195","Opravné položky k zvieratám"
"chart_sk_196","196","Opravné položky k tovaru"
"chart_sk_2","2","Finančné účty"
"chart_sk_21","21","Peniaze"
"chart_sk_211","211","Pokladnica"
"chart_sk_213","213","Ceniny"
"chart_sk_22","22","Účty v bankách"
"chart_sk_221","221","Bankové účty"
"chart_sk_23","23","Bežné bankové úvery"
"chart_sk_231","231","Krátkodobé bankové úvery"
"chart_sk_232","232","Eskontné úvery"
"chart_sk_24","24","Iné krátkodobé finančné výpomoci"
"chart_sk_241","241","Vydané krátkodobé dlhopisy"
"chart_sk_249","249","Ostatné krátkodobé finančné výpomoci"
"chart_sk_25","25","Krátkodobý finančný majetok"
"chart_sk_251","251","Majetkové cenné papiere na obchodovanie"
"chart_sk_252","252","Vlastné akcie a vlastné obchodné podiely"
"chart_sk_253","253","Dlhové cenné papiere na obchodovanie"
"chart_sk_255","255","Vlastné dlhopisy"
"chart_sk_256","256","Dlhové cenné papiere so splatnosťou do jedného roka držané do splatnosti"
"chart_sk_257","257","Ostatné realizovateľné cenné papiere"
"chart_sk_259","259","Obstaranie krátkodobého finančného majetku"
"chart_sk_26","26","Prevody medzi finančnými účtami"
"chart_sk_261","261","Peniaze na ceste"
"chart_sk_29","29","Opravné položky ku krátkodobému finančnému majetku"
"chart_sk_291","291","Opravné položky ku krátkodobému finančnému majetku"
"chart_sk_3","3","Zúčtovacie vzťahy"
"chart_sk_31","31","Pohľadávky"
"chart_sk_311","311","Odberatelia"
"chart_sk_312","312","Zmenky na inkaso"
"chart_sk_313","313","Pohľadávky za eskontované cenné papiere"
"chart_sk_314","314","Poskytnuté preddavky"
"chart_sk_315","315","Ostatné pohľadávky"
"chart_sk_316","316","Čistá hodnota zákazky"
"chart_sk_32","32","Záväzky"
"chart_sk_321","321","Dodávatelia"
"chart_sk_322","322","Zmenky na úhradu"
"chart_sk_323","323","Krátkodobé rezervy"
"chart_sk_324","324","Prijaté preddavky"
"chart_sk_325","325","Ostatné záväzky"
"chart_sk_326","326","Nevyfakturované dodávky"
"chart_sk_33","33","Zúčtovanie so zamestnancami a orgánmi sociálneho poistenia a zdravotného poistenia"
"chart_sk_331","331","Zamestnanci"
"chart_sk_333","333","Ostatné záväzky voči zamestnancom"
"chart_sk_335","335","Pohľadávky voči zamestnancom"
"chart_sk_336","336","Zúčtovanie s orgánmi sociálneho zabezpečenia a zdravotného poistenia"
"chart_sk_34","34","Zúčtovanie daní a dotácií"
"chart_sk_341","341","Daň z príjmov"
"chart_sk_342","342","Ostatné priame dane"
"chart_sk_343","343","Daň z pridanej hodnoty"
